title;type;authors;doi;cite_number;volume;issue;date
In memoriam: Raymond Ray Harold Myers (1937 – 2020);obituary;NA;/doi/full/10.1080/00224065.2020.1760694;0;52;3;2020
Spatial rank-based high-dimensional monitoring through random projection;article;Chen Zhang- Nan Chen - Jianguo Wu;/doi/full/10.1080/00224065.2019.1571336;2;52;2;2020
Copula-based control charts for monitoring multivariate Poisson processes with application to hepatitis C counts;article;Francis G. Pascual - Sherzod B. Akhundjanov;/doi/full/10.1080/00224065.2019.1571337;6;52;2;2020
Tolerance interval for the mixture normal distribution;article;Chian Chen - Hsiuying Wang;/doi/full/10.1080/00224065.2019.1571338;4;52;2;2020
Comprehensive comparisons of major sequential design procedures for sensitivity testing;article;Dianpeng Wang- Yubin Tian - C. F. Jeff Wu;/doi/full/10.1080/00224065.2019.1571340;0;52;2;2020
Screening designs based on weighing matrices with added two-level categorical factors;article;Marwan H. Alhelali- Stelios D. Georgiou - Stella Stylianou;/doi/full/10.1080/00224065.2019.1571341;0;52;2;2020
An EWMA control chart for categorical processes with applications to social network monitoring;article;Marcus B. Perry;/doi/full/10.1080/00224065.2019.1571343;9;52;2;2020
Two perspectives for designing a phase II control chart with estimated parameters: The case of the Shewhart X¯ Chart;article;Felipe S. Jardim- Subhabrata Chakraborti - Eugenio K. Epprecht;/doi/full/10.1080/00224065.2019.1571345;7;52;2;2020
Repairing constrained experimental regions and designs for mixture or nonmixture variables when some design points are unacceptable;article;Greg F. Piepel - Scott K. Cooley;/doi/full/10.1080/00224065.2019.1569956;1;52;1;2020
Generalized one-tailed hypergeometric test with applications in statistical quality control;article;Nataliya Chukhrova - Arne Johannssen;/doi/full/10.1080/00224065.2019.1569957;2;52;1;2020
Variable selection for kriging in computer experiments;article;Hengzhen Huang- Dennis K. J. Lin- Min-Qian Liu - Qiaozhen Zhang;/doi/full/10.1080/00224065.2019.1569959;1;52;1;2020
A comparison of methods for identifying location effects in unreplicated fractional factorials in the presence of dispersion effects;article;Thomas M. Loughin - Yan Zhang;/doi/full/10.1080/00224065.2019.1569960;0;52;1;2020
Bayesian probability of agreement for comparing the similarity of response surfaces;article;Nathaniel T. Stevens- Steven E. Rigdon - Christine M. Anderson-Cook;/doi/full/10.1080/00224065.2019.1569961;5;52;1;2020
Accounting for model uncertainty in individualized designs for discrete choice experiments;article;Guido Consonni- Laura Deldossi - Eleonora Saggini;/doi/full/10.1080/00224065.2019.1569962;0;52;1;2020
Level-expansion: A statistical sequential design methodology with application to nanomaterial synthesis;article;Xu Xu- Youngdeok Hwang- Taewan Kim- Fei Wang- Xudong Wang - Peter Chien;/doi/full/10.1080/00224065.2019.1571335;0;52;1;2020
Process Capability Analysis: Estimating Quality;book review;Joseph Conklin;/doi/full/10.1080/00224065.2019.1584506;1;52;1;2020
The Probability Handbook;book review;Caleb King;/doi/full/10.1080/00224065.2019.1584507;0;52;1;2020
Supersaturated multistratum designs;article;Chang-Yun Lin;/doi/full/10.1080/00224065.2018.1507222;4;51;4;2019
Phase-II monitoring in multichannel profile observations;article;Haojie Ren- Nan Chen - Zhaojun Wang;/doi/full/10.1080/00224065.2018.1507556;4;51;4;2019
Monitoring communication outbreaks among an unknown team of actors in dynamic networks;article;Ross Sparks - James D. Wilson;/doi/full/10.1080/00224065.2018.1507557;2;51;4;2019
Bayesian framework for fault variable identification;article;Mehmet Turkoz- Sangahn Kim- Young-Seon Jeong- Myong K. (MK) Jeong- Elsayed A. Elsayed- Khalifa N. Al-Khalifa - Abdel Magid Hamouda;/doi/full/10.1080/00224065.2018.1507561;2;51;4;2019
A two-stage online monitoring procedure for high-dimensional data streams;article;Jun Li;/doi/full/10.1080/00224065.2018.1507562;2;51;4;2019
Incorporation of process-specific structure in statistical process monitoring: A review;article;Marco S. Reis- Geert Gins - Tiago J. Rato;/doi/full/10.1080/00224065.2019.1569954;4;51;4;2019
ASQ Books;ASQ Books;NA;/doi/full/10.1080/00224065.2019.1688587;0;51;4;2019
ASQ Membership;ASQ Membership;NA;/doi/full/10.1080/00224065.2019.1688588;0;51;4;2019
Dynamic quality-process model in consideration of equipment degradation;article;Ran Jin- Xinwei Deng- Xiaoyu Chen- Liang Zhu - Jun Zhang;/doi/full/10.1080/00224065.2018.1541379;1;51;3;2019
The design of order-of-addition experiments;article;Joseph G. Voelkel;/doi/full/10.1080/00224065.2019.1569958;7;51;3;2019
An adaptive thresholding-based process variability monitoring;article;Galal M. Abdella- Jinho Kim- Sangahn Kim- Khalifa N. Al-Khalifa- Myong K. (MK) Jeong- Abdel Magid Hamouda - Elsayed A. Elsayed;/doi/full/10.1080/00224065.2019.1569952;3;51;3;2019
Some simultaneous progressive monitoring schemes for the two parameters of a zero-inflated Poisson process under unknown shifts;article;Amitava Mukherjee - Athanasios C. Rakitzis;/doi/full/10.1080/00224065.2018.1541387;5;51;3;2019
Modeling memoryless degradation under variable stress;article;Edward V. Thomas- Ira Bloom- Jon P. Christophersen- David C. Robertson- Lee K. Walker- Chinh D. Ho - Vincent S. Battaglia;/doi/full/10.1080/00224065.2019.1569963;3;51;3;2019
Imperfect inspection with directional information: A general failure probability model;article;Young H. Chun;/doi/full/10.1080/00224065.2019.1569953;0;51;3;2019
Statistical inference for a class of startup demonstration tests;article;Serkan Eryilmaz;/doi/full/10.1080/00224065.2019.1571334;3;51;3;2019
Design and analysis of confirmation experiments;article;Nathaniel T. Stevens - Christine M. Anderson-Cook;/doi/full/10.1080/00224065.2019.1571344;4;51;2;2019
A one-sided procedure for monitoring variables defined on contingency tables;article;Sotiris Bersimis - Athanasios Sachlas;/doi/full/10.1080/00224065.2018.1541378;1;51;2;2019
Orthogonal blocking arrangements for 24-run and 28-run two-level designs;article;Eric D. Schoen- Nha Vo-Thanh - Peter Goos;/doi/full/10.1080/00224065.2019.1569955;2;51;2;2019
Construction of optimal run order in design of experiments;article;Jiayu Peng - Dennis K. J. Lin;/doi/full/10.1080/00224065.2018.1541381;0;51;2;2019
Yield-based process capability indices for nonnormal continuous data;article;Piao Chen- Bing Xing Wang - Zhi-Sheng Ye;/doi/full/10.1080/00224065.2019.1571342;5;51;2;2019
An adaptive two-stage Bayesian model averaging approach to planning and analyzing accelerated life tests under model uncertainty;article;Xiujie Zhao- Rong Pan- Enrique del Castillo - Min Xie;/doi/full/10.1080/00224065.2019.1571333;3;51;2;2019
End of performance prediction of lithium-ion batteries;article;Yi-Fu Wang- Sheng-Tsaing Tseng- Bo Henry Lindqvist - Kwok-Leung Tsui;/doi/full/10.1080/00224065.2018.1541388;7;51;2;2019
Statistical Methods for Quality Assurance: Basics: Measurement: Control: Capability: and Improvement: Second Edition;book review;Ashley Childress;/doi/full/10.1080/00224065.2018.1404872;1;51;2;2019
Acceptance Sampling in Quality Control: Third Edition;book review;John Lawson;/doi/full/10.1080/00224065.2018.1404874;0;51;2;2019
Identifying and visualizing part-to-part variation with spatially dense optical dimensional metrology data;article;Zhenyu Shi- Daniel W. Apley - George C. Runger;/doi/full/10.1080/00224065.2018.1541380;1;51;1;2019
A new variable selection method based on SVM for analyzing supersaturated designs;article;Krystallenia Drosou - Christos Koukouvinos;/doi/full/10.1080/00224065.2018.1541389;2;51;1;2019
An integer linear programing approach to find trend-robust run orders of experimental designs;article;José Núñez Ares - Peter Goos;/doi/full/10.1080/00224065.2018.1545496;3;51;1;2019
An EWMA-type sign chart with exact run length properties;article;P. Castagliola- K. P. Tran- G. Celano- A. C. Rakitzis - P. E. Maravelakis;/doi/full/10.1080/00224065.2018.1545497;14;51;1;2019
Strategic allocation of test units in an accelerated degradation test plan;article;Zhi-Sheng Ye- Qingpei Hu - Dan Yu;/doi/full/10.1080/00224065.2018.1545495;6;51;1;2019
Estimation of the random error of binary tests using adaptive polynomials;article;Thomas S. Akkerhuis- Jeroen de Mast - Tashi P. Erdmann;/doi/full/10.1080/00224065.2018.1541390;0;51;1;2019
Critical fault-detecting time evaluation in software with discrete compound Poisson models;article;Min-Hsiung Hsieh- Shuen-Lin Jeng - Paul Kvam;/doi/full/10.1080/00224065.2018.1545494;0;51;1;2019
A spatial-adaptive sampling procedure for online monitoring of big data streams;article;Andi Wang- Xiaochen Xian- Fugee Tsung - Kaibo Liu;/doi/full/10.1080/00224065.2018.1507560;7;50;4;2018
Multiple profiles sensor-based monitoring and anomaly detection;article;Chen Zhang- Hao Yan- Seungho Lee - Jianjun Shi;/doi/full/10.1080/00224065.2018.1508275;12;50;4;2018
Monitoring for changes in the nature of stochastic textured surfaces;article;Anh Tuan Bui - Daniel W. Apley;/doi/full/10.1080/00224065.2018.1507559;4;50;4;2018
Phase II monitoring of free-form surfaces: An application to 3D printing;article;Yangyang Zang - Peihua Qiu;/doi/full/10.1080/00224065.2018.1508274;10;50;4;2018
Spatially weighted PCA for monitoring video image data with application to additive manufacturing;article;Bianca M. Colosimo - Marco Grasso;/doi/full/10.1080/00224065.2018.1507563;9;50;4;2018
Change detection in a dynamic stream of attributed networks;article;Mostafa Reisi Gahrooei - Kamran Paynabar;/doi/full/10.1080/00224065.2018.1507558;8;50;4;2018
Space-time outlier identification in a large ground deformation data set;article;Youjiao Yu- Austin Workman- Jacob G. Grasmick- Michael A. Mooney - Amanda S. Hering;/doi/full/10.1080/00224065.2018.1507598;2;50;4;2018
ASQ- Advance your career ad;ASQ- Advance your career ad;NA;/doi/full/10.1080/00224065.2018.1553837;0;50;4;2018
ASQ- Journals ad;ASQ- Journals ad;NA;/doi/full/10.1080/00224065.2018.1553842;0;50;4;2018
Editors’ note for special issue: Quality engineering in advanced manufacturing;article;Bianca M. Colosimo- Qiang Huang- Tirthankar Dasgupta - Fugee Tsung;/doi/full/10.1080/00224065.2018.1488455;0;50;3;2018
Opportunities and challenges of quality engineering for additive manufacturing;article;Bianca M. Colosimo- Qiang Huang- Tirthankar Dasgupta - Fugee Tsung;/doi/full/10.1080/00224065.2018.1487726;3;50;3;2018
Uncertainty quantification of machining simulations using an in situ emulator;article;Evren Gul- V. Roshan Joseph- Huan Yan - Shreyes N. Melkote;/doi/full/10.1080/00224065.2018.1474689;1;50;3;2018
Phase I monitoring of optical profiles with application in low-emittance glass manufacturing;article;Qian Wu- Li Zeng - Qiang Zhou;/doi/full/10.1080/00224065.2018.1474687;0;50;3;2018
Surrogate model–based optimal feed-forward control for dimensional-variation reduction in composite parts' assembly processes;article;Xiaowei Yue - Jianjun Shi;/doi/full/10.1080/00224065.2018.1474688;0;50;3;2018
A Bayesian hierarchical model for quantitative and qualitative responses;article;Lulu Kang- Xiaoning Kang- Xinwei Deng - Ran Jin;/doi/full/10.1080/00224065.2018.1489042;3;50;3;2018
Sequential design of an injection molding process using a calibrated predictor;article;Po-Hsu Allen Chen- María G. Villarreal-Marroquín- Angela M. Dean- Thomas J. Santner- Rachmat Mulyana - José M. Castro;/doi/full/10.1080/00224065.2018.1474696;0;50;3;2018
Big data and reliability applications: The complexity dimension;article;Yili Hong- Man Zhang - William Q. Meeker;/doi/full/10.1080/00224065.2018.1438007;7;50;2;2018
A data-level fusion approach for degradation modeling and prognostic analysis under multiple failure modes;article;Abdallah Chehade- Changyue Song- Kaibo Liu- Abhinav Saxena - Xi Zhang;/doi/full/10.1080/00224065.2018.1436829;4;50;2;2018
A statistical modeling approach for spatio-temporal degradation data;article;Xiao Liu- Kyongmin Yeo - Jayant Kalagnanam;/doi/full/10.1080/00224065.2018.1436833;4;50;2;2018
Reliability analysis considering dynamic material local deformation;article;Wujun Si- Qingyu Yang- Xin Wu - Yong Chen;/doi/full/10.1080/00224065.2018.1436834;3;50;2;2018
Predicting field reliability based on two-dimensional warranty data with learning effects;article;Shuguang He- Zhaomin Zhang- Wei Jiang - Dejun Bian;/doi/full/10.1080/00224065.2018.1436831;1;50;2;2018
Uncertainty quantification for monotone stochastic degradation models;article;Piao Chen - Zhi-Sheng Ye;/doi/full/10.1080/00224065.2018.1436839;3;50;2;2018
Weighted EWMA charts for monitoring type I censored Weibull lifetimes;article;Shangjie Xu - Daniel R. Jeske;/doi/full/10.1080/00224065.2018.1436830;3;50;2;2018
Next Editor of the Journal of Quality Technology: Dr. Bianca Colosimo;announcement;NA;/doi/full/10.1080/00224065.2018.1420755;0;50;1;2018
50 years of the Journal of Quality Technology;article;Willis A. Jensen- Douglas C. Montgomery- Fugee Tsung - Geoffery G. Vining;/doi/full/10.1080/00224065.2018.1404881;2;50;1;2018
Discussion;discussion;Rob Goedhart- Marit Schoonhoven - Ronald J. M. M. Does;/doi/full/10.1080/00224065.2018.1404886;1;50;1;2018
Discussion;discussion;T. N. Goh;/doi/full/10.1080/00224065.2018.1404877;0;50;1;2018
Discussion;discussion;Bradley Jones;/doi/full/10.1080/00224065.2018.1404334;0;50;1;2018
Discussion;discussion;Sung Hyun Park;/doi/full/10.1080/00224065.2018.1404882;0;50;1;2018
Discussion;discussion;Ronald D. Snee;/doi/full/10.1080/00224065.2018.1404883;0;50;1;2018
Discussion;discussion;Xavier Tort-Martorell;/doi/full/10.1080/00224065.2018.1404878;0;50;1;2018
Rejoinder;reply;Willis A. Jensen- Douglas C. Montgomery- Fugee Tsung - G. Geoffrey Vining;/doi/full/10.1080/00224065.2018.1404880;0;50;1;2018
Process tracking and monitoring based on discrete jumping model;article;Chao Wang - Shiyu Zhou;/doi/full/10.1080/00224065.2018.1404314;0;50;1;2018
Some perspectives on nonparametric statistical process control;article;Peihua Qiu;/doi/full/10.1080/00224065.2018.1404315;20;50;1;2018
Response modelling approach to robust parameter design methodology using supersaturated designs;article;Kashinath Chatterjee- Krystallenia Drosou- Stelios D. Georgiou - Christos Koukouvinos;/doi/full/10.1080/00224065.2018.1404316;1;50;1;2018
Robust split-plot designs for model misspecification;article;Chang-Yun Lin;/doi/full/10.1080/00224065.2018.1404325;3;50;1;2018
Online profile monitoring for surgical outcomes using a weighted score test;article;Liu Liu- Xin Lai- Jian Zhang - Fugee Tsung;/doi/full/10.1080/00224065.2018.1404329;1;50;1;2018
Dimension reduction for a multivariate time series process of a regenerative glass furnace;article;Xuan Huang - Davit Khachatryan;/doi/full/10.1080/00224065.2018.1404327;0;50;1;2018
A comparison of traditional and maximum likelihood approaches to estimating thermal indices for polymeric materials;article;Caleb B. King- Yimeng Xie- Yili Hong- Jennifer H. Van Mullekom- Stephanie P. DeHart - Patrick A. DeFeo;/doi/full/10.1080/00224065.2018.1406770;0;50;1;2018
On guaranteed in-control performance for the Shewhart X and  control charts;letter;Rob Goedhart- Marit Schoonhoven - Ronald J. M. M. Does;/doi/full/10.1080/00224065.2018.1404876;3;50;1;2018
Bias/Variance Trade-Off in Estimates of a Process Parameter Based on Temporal Data;article;Patricia L. Cooper Barfoot- Stefan H. Steiner - R. Jock MacKay;/doi/abs/10.1080/00224065.2017.11917999;0;49;4;2017
Testing for Lack of Fit in Blocked: Split-Plot: and Other Multi-Stratum Designs;article;Peter Goos - Steven G. Gilmour;/doi/abs/10.1080/00224065.2017.11918000;2;49;4;2017
Flexible Nested Latin Hypercube Designs for Computer Experiments;article;Daijun Chen - Shifeng Xiong;/doi/abs/10.1080/00224065.2017.11918001;2;49;4;2017
Constructing Tolerance Intervals for the Number of Defectives Using Both High- and Low-Resolution Data;article;Hsiuying Wang - Fugee Tsung;/doi/abs/10.1080/00224065.2017.11918002;1;49;4;2017
A General Approach for Monitoring Serially Dependent Categorical Processes;article;Jian Li - Qiang Zhou;/doi/abs/10.1080/00224065.2017.11918003;2;49;4;2017
Monitoring the Coefficient of Variation Using a Variable Sampling Interval EWMA Chart;article;W. C. Yeong- Michael B. C. Khoo- L. K. Tham- W. L. Teoh - M. A. Rahim;/doi/abs/10.1080/00224065.2017.11918004;4;49;4;2017
Optimal Experimental Design for Efficient Optical Manipulation of Magnetic Beads Seeded in a Microwell Array;case report;D. Decrop- J. Lammertyn - P. Goos;/doi/abs/10.1080/00224065.2017.11918005;2;49;4;2017
Time Series Analysis: Forecasting and Control: 5th edition;book review;Shaun S. Wulff;/doi/abs/10.1080/00224065.2017.11918006;0;49;4;2017
Functional and Shape Data Analysis;book review;Li Xu - Yili Hong;/doi/abs/10.1080/00224065.2017.11918007;0;49;4;2017
Index;index;NA;/doi/abs/10.1080/00224065.2017.11918008;0;49;4;2017
Editorial Collaborators;Editorial Collaborators;NA;/doi/abs/10.1080/00224065.2017.11918009;0;49;4;2017
Inference on an Adaptive Accelerated Life Test with Application to Smart-Grid Data-Acquisition-Devices;article;Lijuan Shen- Dayu Sun- Zhisheng Ye - Xingqiu Zhao;/doi/abs/10.1080/00224065.2017.11917990;1;49;3;2017
Multi-Scale Diagnosis of Spatial Point Interaction Via Decomposition of the K Function-Based T2 Statistic;article;Xiaohu Huang- Jiakun Xu - Qiang Zhou;/doi/abs/10.1080/00224065.2017.11917991;0;49;3;2017
Selecting an Informative/Discriminating Multivariate Response for Inverse Prediction;article;Edward V. Thomas- John R. Lewis- Christine M. Anderson-Cook- Tom Burr - Michael S. Hamada;/doi/abs/10.1080/00224065.2017.11917992;0;49;3;2017
Using Definitive Screening Designs to Identify Active First- and Second-Order Factor Effects;article;Anna Errore- Bradley Jones- William Li - Christopher J. Nachtsheim;/doi/abs/10.1080/00224065.2017.11917993;5;49;3;2017
A Criterion for Constructing Powerful Supersaturated Designs When Effect Directions Are Known;article;Maria L. Weese- David J. Edwards - Byran J. Smucker;/doi/abs/10.1080/00224065.2017.11917994;1;49;3;2017
Improved Shewhart-Type Charts for Monitoring Times Between Events;article;N. Kumar- S. Chakraborti - A. C. Rakitzis;/doi/abs/10.1080/00224065.2017.11917995;5;49;3;2017
Strategies for Formulations Development: A Step-by-Step Guide Using JMP®;book review;Lulu Kang;/doi/abs/10.1080/00224065.2017.11917996;0;49;3;2017
Basic Experimental Strategies and Data Analysis for Science and Engineering;book review;Theresa L. Utlaut;/doi/abs/10.1080/00224065.2017.11917997;0;49;3;2017
Nominations Sought for 2017;article;William G. Hunter;/doi/abs/10.1080/00224065.2017.11917998;0;49;3;2017
Two-Level Augmented Definitive Screening Designs;article;Abigael C. Nachtsheim- Weijie Shen - Dennis K. J. Lin;/doi/abs/10.1080/00224065.2017.11917982;0;49;2;2017
Multivariate Ordinal Categorical Process Control Based on Log-Linear Modeling;article;Junjie Wang- Jian Li - Qin Su;/doi/abs/10.1080/00224065.2017.11917983;1;49;2;2017
Nonparametric Change-Point Detection for Profiles with Binary Data;article;Yanfen Shang- Zhiqiong Wand- Zhen He - Shuguang He;/doi/abs/10.1080/00224065.2017.11917984;1;49;2;2017
Bayesian Monitoring of Times Between Events: The Shewhart tr-Chart;article;Nirpeksh Kumar - Subha Chakraborti;/doi/abs/10.1080/00224065.2017.11917985;3;49;2;2017
Guaranteed In-Control Performance for the Shewhart X and X Control Charts;article;Rob Goedhart- Marit Schoonhoven - Ronald J. M. M. Does;/doi/abs/10.1080/00224065.2017.11917986;13;49;2;2017
Estimating a Service-Life Distribution Based on Production Counts and a Failure Database;case report;Kenneth J. Ryan- Michael S. Hamada - Stephen B. Vardeman;/doi/abs/10.1080/00224065.2017.11917987;2;49;2;2017
Response Surface Methodology: Process and Product Optimization Using Designed Experiments 4th edition;book review;Willis A. Jensen;/doi/abs/10.1080/00224065.2017.11917988;1;49;2;2017
Fundamentals of Statistical Experimental Design and Analysis;book review;Michael Joner;/doi/abs/10.1080/00224065.2017.11917989;0;49;2;2017
CME Analysis: A New Method for Unraveling Aliased Effects in Two-Level Fractional Factorial Experiments;article;Heng Su - C. F. Jeff Wu;/doi/abs/10.1080/00224065.2017.11918181;3;49;1;2017
Batch Sequential Minimum Energy Design with Design-Region Adaptation;article;Heeyoung Kim- Justin T. Vastola- Sungil Kim- Jye-Chyi Lu - Martha A. Grover;/doi/abs/10.1080/00224065.2017.11918182;0;49;1;2017
DP-Optimality in Terms of Multiple Criteria and Its Application to the Split-Plot Design;article;Yongtao Cao- Shaun S. Wulff - Timothy J. Robinson;/doi/abs/10.1080/00224065.2017.11918183;3;49;1;2017
Shelf-Life Prediction of Nano-Sol via pH Acceleration;article;Yu-Cheng Yao- Sheng-Tsaing Tseng - David Shan Hill Wong;/doi/abs/10.1080/00224065.2017.11918184;2;49;1;2017
Approximate Statistical Limits for a Gamma Distribution;article;Piao Chen - Zhi-Sheng Ye;/doi/abs/10.1080/00224065.2017.11918185;3;49;1;2017
ARL Numerics for MEWMA Charts;article;Sven Knoth;/doi/abs/10.1080/00224065.2017.11918186;2;49;1;2017
Probability with Applications in Engineering: Science: and Technology;book review;Willis A. Jensen - Jian Guo;/doi/abs/10.1080/00224065.2017.11918187;0;49;1;2017
Statistical Roundtables: Insights and Best Practices;book review;Wade E. Molnau PhD;/doi/abs/10.1080/00224065.2017.11918188;0;49;1;2017
John A. Cornell (1941–2016);article;Greg F. Piepel;/doi/abs/10.1080/00224065.2016.11918170;0;48;4;2016
A Bayesian Approach to Diagnostics for Multivariate Control Charts;article;Robert M. Steward- Steven E. Rigdon - Rong Pan;/doi/abs/10.1080/00224065.2016.11918171;0;48;4;2016
Multiple Objective Optimization in Reliability Demonstration Tests;article;Lu Lu- Mingyang Li - Christine M. Anderson-Cook;/doi/abs/10.1080/00224065.2016.11918172;4;48;4;2016
Identifying the Structure of the Experimental Design;article;Simon T. Bate - Marion J. Chatfield;/doi/abs/10.1080/00224065.2016.11918173;1;48;4;2016
Using the Structure of the Experimental Design and the Randomization to Construct a Mixed Model;article;Simon T. Bate - Marion J. Chatfield;/doi/abs/10.1080/00224065.2016.11918174;1;48;4;2016
A New Function for Generating Local Bandwidths for Semi-Parametric MRR2 Model in Response Surface Methodology;article;Efosa Edionwe- Julian I. Mbegbu - Chinwe R. Nwosu;/doi/abs/10.1080/00224065.2016.11918175;0;48;4;2016
Small Mixed-Level Screening Designs with Orthogonal Quadratic Effects;article;Nam-Ky Nguyen - Tung-Dinh Pham;/doi/abs/10.1080/00224065.2016.11918176;1;48;4;2016
Signal: Understanding What Matters in a World of Noise;book review;Willis A. Jensen - Willis A. Jensen;/doi/abs/10.1080/00224065.2016.11918177;0;48;4;2016
Repeated Measurements and Cross-Over Designs;book review;Rachel T. Silvestrini PhD;/doi/abs/10.1080/00224065.2016.11918178;0;48;4;2016
